Name	Zone Name	Level	HP	Race	Class	Position(s)
Bidl Frugrin	Greater Faydark	13 - 17	370 - 450	Gnome	Wizard	(-536,-549)
Biggle Limbokker	East Freeport	18 - 22	431 - 511	Halfling	Rogue	(-235,-854)
Bilbis Briar	Northern Plains of Karana	45	5875	Citizen, Qeynos	Shopkeeper	(-4148,1201)
Bilge Farfathom	Dagnor's Cauldron	30	1180	Goblin	Shaman	(939,-326)
Bilrio Surecut	Greater Faydark	40	3250	Wood Elf	Shopkeeper	(-648,386)
Bim Buskin	Misty Thicket	30	1150	Citizen, Rivervale	Shopkeeper	(905,-2344)
Bimble Babbinsbort	Rivervale	35	1675	Citizen, Rivervale	Shopkeeper	(-161,-117)
Bimuk	Grobb	40	3250	Citizen, Grobb	Shopkeeper	(515,-220)
Bin Fiddlekins	Lesser Faydark	30	627	Gnome	Wizard	(1074,-1669)
Bindlegrob	Rathe Mountains	25	810	Gnome	Necromancer	(-456,-2305)
Bindolmera Greybloom	South Kaladim	38 - 42	3210 - 3290	Citizen, Kaladim	Shopkeeper	(125,399)
Bink	Nektulos Forest	6 - 10	150 - 248	Halfling	Warrior	(-1837,1138), (-1696,931), (-1798,1185), (-1778,1216)
Bisdlo Ravtahm	South Qeynos	26	860	Citizen, Qeynos	Shopkeeper	(-257,-524)
bixie drone, a	Kithicor Woods	2	32	Bixie	Ranger	(1249,-387)
bixie drone, a	Misty Thicket	2	32 - 46	Bixie	Ranger	(284,-1119), (605,-72)
bixie queen, a	Misty Thicket	3 - 5	63 - 90	Bixie	Shaman	(610,-84)
bixie, a	East Commonlands	1	13	Bixie	Ranger	(52,2810)
bixie, a	Kithicor Woods	1	13	Bixie	Ranger	(-795,2482)
bixie, a	Misty Thicket	1 - 2	13 - 32	Bixie	Ranger	(240,378), (610,-84)
bixie, a	Nektulos Forest	1	13	Bixie	Ranger	(-823,-147)
black bat, a	Paineel	1 - 3	16 - 52	Bat, Giant	Warrior	(1165,-438), (1266,-467), (1159,-451), (1353,-337)
black bear, a	East Commonlands	3 - 5	50 - 90	Bear	Warrior	(784,2117), (-453,3592), (-547,1975)
black bear, a	Kithicor Woods	3 - 5	50 - 90	Bear	Warrior	(1913,1192), (981,-36), (1125,1204)
black bear, a	Misty Thicket	3 - 5	50 - 90	Bear	Warrior	(-1044,259), (-208,420), (-786,355)
black bear, a	Nektulos Forest	3 - 5	50 - 90	Bear	Warrior	(-341,495), (-1641,-685), (992,568)
black bear, a	Rathe Mountains	5 - 7	50 - 90	Bear	Warrior	(4949,2261), (4524,1222), (5125,1911)
black bear, a	West Commonlands	3 - 5	50 - 90	Bear	Warrior	(621,1830), (464,1382), (83,-1608)
black reaver, a	The City of Mist	50 - 51	9980 - 10000	Golem	Warrior	(1,421), (-1,319)
black wolf, a	East Commonlands	1	16	Wolf	Warrior	(277,-162)
black wolf, a	Greater Faydark	1	16	Wolf	Warrior	(-1561,-1691)
black wolf, a	Kithicor Woods	1 - 5	16 - 90	Wolf	Warrior	(989,3469), (-16,1089), (-709,4226), (-522,2039)
black wolf, a	Misty Thicket	1	16	Wolf	Warrior	(820,-1760)
black wolf, a	Nektulos Forest	1	16	Wolf	Warrior	(-448,-681)
black wolf, a	The Feerrott	1	16	Wolf	Warrior	(1320,-513)
black wolf, a	Western Plains of Karana	3 - 5	50 - 90	Wolf	Warrior	(-3197,-5281), (-124,-13436)
blade storm, a	Plane of Sky	59 - 60	20802 - 20822	Dervish	Warrior	(330,1023)
Blaize the Radiant	Temple of Solusek Ro	40	3430	High Elf	Cleric	(417,-22)
blazing elemental, a	Temple of Solusek Ro	34 - 35	1655 - 1675	Elemental	Warrior	(399,-76), (562,-48)
blazing elemental	Solusek's Eye	25	810	Elemental	Warrior	(-96,-667)
Blinza Toepopal	Rivervale	10	185	Citizen, Rivervale	Rogue	(-48,-170)
Blippo Stumbletoe	Rivervale	45	5875	Citizen, Rivervale	Shopkeeper	(-205,-415)
Blixkin Entopop	Misty Thicket	27	1000	Halfling	Rogue	(-310,-2165)
bloated alligator, a	Qeynos Aqueduct System	2	32	Alligator	Warrior	(651,230)
Bloated Belly	The Overthere	50	9550	Ship	Warrior	(3530,2770)
Bloated Belly	Timorous Deep	50	9550	Ship	Warrior	(-1456,1183)
Bloodforge Brigade	South Kaladim	49	8929	Citizen, Kaladim	Paladin	(245,-262)
Bloodforge Captain, a	South Kaladim	50	9748	Citizen, Kaladim	Warrior	(243,-284)
bloodgill barracuda, a	Lake of Ill Omen	40 - 44	4134 - 4214	Tribunal	Warrior	(-902,-830), (264,-529), (-1139,793)
bloodgill goblin, a	Lake of Ill Omen	35 - 39	1299 - 1399	Kunark Goblin	Warrior	(-420,-2), (-339,-7), (-283,115), (-795,-567), (-800,-127), (-768,-84), (-500,68)
bloodgill marauder, a	Lake of Ill Omen	40	3000	Kunark Goblin	Warrior	(-375,-55)
Bloodgorge	Swamp Of No Hope	23	750	Leech	Warrior	(297,1083)
Bloodscale the Vicious	Frontier Mountains	43 - 45	4699 - 4739	Sarnak	Warrior	(2379,2541), (1823,2818), (2452,2941)
bloodthirsty ghoul, a	Ruins of Old Guk	38 - 42	4835 - 4915	Froglok Ghoul	Warrior	(1072,-1041), (1077,-1056), (1072,-1072)
bloodvein mosquito, a	Swamp Of No Hope	11 - 13	280 - 320	Mosquito	Warrior	(-2129,2871), (-1974,3039), (-1936,2497)
Bloodvein	Swamp Of No Hope	25	790	Mosquito	Warrior	(-2465,1436)
Blyle Bundin	Butcherblock Mountains	5 - 7	110 - 150	Dwarf	Warrior	(1427,2094), (25,2226), (1292,2079)
Bndainy Everhot	North Kaladim	38 - 42	3210 - 3290	Citizen, Kaladim	Shopkeeper	(401,-163)
boat, a	Dagnor's Cauldron	50	20000	Burynai	Warrior	(-833,-1807)
boat, a	Lake Rathetear	50	20000	Burynai	Warrior	(2541,1393)
boat, a	Ocean of Tears	50	20000	Burynai	Warrior	(1106,3272)
boat, a	Qeynos Hills	1	20000	Burynai	Warrior	(3798,1009)
boat, a	Toxxulia Forest	50	20000	Burynai	Warrior	(-616,2353)
body guard, a	High Keep	45	4540	Human	Rogue	(-89,-305)
Bogen Chazel	South Qeynos	32	1302 - 1484	Citizen, Qeynos	Shopkeeper	(-258,-516)
bok ghoul knight, a	Ruins of Old Guk	42 - 46	5226 - 5306	Froglok Ghoul	Warrior	(1558,-748), (1542,-764), (1537,-737)
Bolace	Halas	45	5895	Citizen, Halas	Shopkeeper	(326,482)
Bom Knotwood	Steamfont Mountains	30	1150	Gnome	Shopkeeper	(165,-860)
bonebinder hatchling	Field of Bone	2 - 4	28 - 68	Spider, Giant	Warrior	(1480,2078), (-383,2183), (-897,2061)
bonebinder, a	Field of Bone	12 - 14	310 - 350	Spider, Giant	Warrior	(1546,691), (1496,257), (-1065,-515)
BoneCracker	Najena	24	770	Froglok Ghoul	Warrior	(254,173)
bonecrawler hatchling	Field of Bone	2 - 4	28 - 68	Spider, Giant	Warrior	(-289,2528), (-210,2455), (-193,2350)
bonecrawler	Field of Bone	5 - 7	110 - 150	Spider, Giant	Warrior	(-1227,468), (-1363,1138), (-402,971)
Bonedigger	Frontier Mountains	24	943	Burynai	Warrior	(1264,3150)
Bonlarg	Oggok	35 - 61	1675 - 32000	Ogre	GM ShadowKnight	(356,-44)
Bonn McMarrin	Everfrost	40 - 50	3250 - 32000	Citizen, Halas	Warrior	(3359,615)
Boog Mudtoe	Ocean of Tears	18	530	Ogre	Warrior	(1008,-8021)
boogeyman, a	Plane of Fear	48 - 52	14285 - 14365	Ghoul	Warrior	(-482,-526), (-820,-445), (-1144,425), (-321,-470), (-971,447)
Boomba the Big	West Freeport	20	610	Ogre	Shopkeeper	(-23,-31)
Boondin Babbinsbort	Befallen	25	442	Gnome	Necromancer	(-813,-205)
Boraskor	Halas	45	5895	Citizen, Halas	Shopkeeper	(356,449)
borer beetle, a	Northern Plains of Karana	14 - 16	390 - 430	Beetle	Warrior	(-1477,2921), (-2347,2328), (301,-331)
Borge Finleather	Erudin	45	5875	Citizen, Erudin	Shopkeeper	(-993,-77)
bottomless devourer, a	Skyfire Mountains	45 - 49	7179 - 7259	Man Eating Plant	Warrior	(479,-3053), (1955,-2651), (2639,-1604), (2672,-258), (1725,-2196)
bottomless feaster, a	Skyfire Mountains	42 - 46	5226 - 5306	Man Eating Plant	Warrior	(-2762,-1200), (-2790,1851), (-2660,-2132), (-2282,2771), (-500,-3394)
bottomless gnawer, a	Skyfire Mountains	39 - 43	5496 - 5576	Man Eating Plant	Warrior	(-2396,1976), (-2338,-93), (-1414,1061), (-3304,-1893), (-1672,2447)
Bouncer Bak	Oggok	33 - 37	1635 - 1715	Citizen, Oggok	Warrior	(-232,357)
Bouncer Bigboot	Rivervale	31	1171	Halfling	Rogue	(-77,-180)
Bouncer Bogglebin	Rivervale	30	1150	Halfling	Rogue	(-28,-180)
Bouncer Druk	Oggok	33 - 36	1635 - 1695	Citizen, Oggok	Warrior	(490,77)
Bouncer Flerb	The Feerrott	37	1675	Citizen, Oggok	Warrior	(1065,2046)
Bouncer Fug	The Feerrott	37 - 50	1675 - 32000	Citizen, Oggok	Warrior	(1467,876)
Bouncer Gronk	Oggok	29 - 31	1130 - 1170	Citizen, Oggok	Warrior	(352,1139)
Bouncer Haraan	Oggok	35 - 37	1675 - 1715	Citizen, Oggok	Warrior	(-219,350)
Bouncer Hurd	The Feerrott	37	1675	Citizen, Oggok	Warrior	(580,1009)
Bouncer Krik	Oggok	37	2179	Citizen, Oggok	Warrior	(260,-264)
Bouncer Mrang	Oggok	33 - 37	1635 - 1715	Citizen, Oggok	Warrior	(234,-86), (467,658), (362,770), (351,719), (566,-227)
Bouncer Praag	Oggok	33 - 37	1635 - 1715	Citizen, Oggok	Warrior	(250,205), (21,33), (306,-159), (198,-261)
Bouncer Prud	The Feerrott	37 - 50	1675 - 32000	Citizen, Oggok	Warrior	(1470,931)
Bouncer Raan	Oggok	33 - 37	1635 - 1715	Citizen, Oggok	Warrior	(659,770), (417,424)
Bouncer Scaar	Oggok	33 - 37	1635 - 1715	Citizen, Oggok	Warrior	(232,456), (499,575), (481,883), (538,49)
Bouncer Skon	Oggok	33 - 37	1635 - 1715	Citizen, Oggok	Warrior	(-197,367)
Bouncer Skuk	Oggok	33 - 37	1635 - 1715	Citizen, Oggok	Warrior	(490,39), (702,267)
Bouncer Tazak	Oggok	33 - 37	1635 - 1715	Citizen, Oggok	Warrior	(-349,476), (-349,-78)
Bouncer Thrang	Oggok	33 - 37	1635 - 1715	Citizen, Oggok	Warrior	(-349,-69), (-221,378), (859,745), (-333,463)
Bouncer Wrok	Oggok	33 - 37	1635 - 1715	Citizen, Oggok	Warrior	(14,-266)
Bouncer Xak	Oggok	33 - 37	1635 - 1715	Citizen, Oggok	Warrior	(136,853), (652,721), (766,822), (554,704)
Brackin Nartoise	Firiona Vie	45	5875 - 6122	Gnome	Shopkeeper	(-3977,2612)
Bradly	Eastern Plains of Karana	45	5875	Citizen, Qeynos	Shopkeeper	(-855,-98)
Brak Daggermist	Firiona Vie	40	3250 - 3498	Wood Elf	Shopkeeper	(-3607,2359)
Bran Greenglade	North Freeport	45	5875	Half-Elf	Shopkeeper	(-108,-127)
Brana	Oggok	40	3250	Citizen, Oggok	Shopkeeper	(75,881)
Brandyn McDonald	Halas	45	5875	Citizen, Halas	Shopkeeper	(182,-156)
Branis Noolright	East Freeport	20	416	Human	Bard	(-230,-872)
Brawn	Ocean of Tears	22	690	Ogre	Warrior	(209,9413)
Breck Damison	Highpass Hold	22	533	Human	Rogue	(419,-242)
Bregna	Grobb	41 - 61	3711 - 32020	Troll	GM Shaman	(-67,-462)
Brek Stolrus	East Freeport	38 - 61	2670 - 32344	Human	GM Cleric	(-67,-174)
Bren Treeclimber	Surefall Glade	7	201 - 231	Human	Ranger	(-70,-464), (-174,-162)
Brena Donyld	West Freeport	61	32000	Human	GM Warrior	(-310,-28)
Brena Donyld	West Freeport	35	1675	Human	Warrior	(-310,-28)
Brenon	Highpass Hold	11	209	Human	Rogue	(-36,191)
Brenzl McMannus	Western Plains of Karana	25	810	Barbarian	Shopkeeper	(-1972,-8960)
Brettas Norval	Paineel	50	12000	Erudite	Shopkeeper	(889,470)
Brewer Prixal	Cabilis East	30	1150	Citizen, Iksar	Shopkeeper	(678,-25)
Breya Nostulia	Erudin	43 - 61	4949 - 32344	Erudite	GM Paladin	(-1043,-382)
Briana Treewhisper	Northern Plains of Karana	40 - 61	3430 - 32403	Half-Elf	GM Druid	(-2621,-1391)
briar snake, a	Toxxulia Forest	3 - 5	50 - 90	Snake, Giant	Warrior	(-1687,-297), (-2018,145), (-1803,-370)
briarweb spider	Kaesora	34	1606	Spider, Giant	Warrior	(120,74)
briarweb spider	Mines of Nurga	32 - 36	1446 - 1526	Spider, Giant	Warrior	(-1318,-83), (-1293,-51), (-1206,620), (-1171,512), (-1129,397)
Bricaro Summonar	Firiona Vie	61	30000 - 32247	Human	GM Magician	(-3957,2611)
brigand, a	Lake Rathetear	14 - 15	390 - 410	Barbarian	Warrior	(3541,-1098), (3516,-1139)
brigand, a	Rathe Mountains	16	430	Barbarian	Warrior	(3054,1252)
brigand, a	Western Plains of Karana	14 - 16	390 - 430	Barbarian	Warrior	(877,-7068), (-289,-5407), (-698,-12447)
Brill	Rathe Mountains	10	240	Human	Warrior	(4065,-1314)
Brin McQuaid	Halas	45	5875	Citizen, Halas	Shopkeeper	(93,-215)
Brin Stolunger	South Qeynos	43 - 61	4699 - 32000	Human	GM Warrior	(81,-586)
Brina Foxtripper	West Freeport	61	32000	Human	GM Warrior	(-316,45)
Brina Foxtripper	West Freeport	35	1675	Human	Warrior	(-316,45)
Brinaa Darkpact	The Overthere	49	8978	Dark Elf	Cleric	(2796,2333)
Brisha Fyrestone	Firiona Vie	40	3250 - 3497	Dwarf	Shopkeeper	(-3614,2405)
bristleweb spider	Kaesora	28 - 31	1230 - 1290	Spider, Giant	Warrior	(145,62), (147,81), (-70,248), (-244,277)
bristleweb spider	Mines of Nurga	28 - 32	1130 - 1252	Spider, Giant	Warrior	(-1057,-633), (-2109,-1527), (-1134,-484), (-1781,-1216), (-1504,-979)
bristly succulant, a	The Overthere	12 - 14	310 - 350	167	Warrior	(1709,-1614), (1732,-1927), (1010,-1937)
brittle skeleton, a	Steamfont Mountains	7 - 9	170 - 210	Skeleton	Warrior	(315,-542), (896,59), (890,1151)
Broawn Goshart	Firiona Vie	40	3270 - 3450	Barbarian	Shopkeeper	(-3862,1673)
Brock Brawlbottom	Misty Thicket	11 - 13	280 - 320	Halfling	Rogue	(-747,-474)
Brohan Ironforge	North Qeynos	29	1010	Citizen, Qeynos	Warrior	(107,-3)
Brokk Boxtripper	Oggok	40	3250	Citizen, Oggok	Shopkeeper	(220,378)
Brollus Hoost	Kithicor Woods	13	277	Human	Rogue	(1148,-679)
Brona Frugrin	Steamfont Mountains	35	1675	Gnome	Enchanter	(1869,-196)
Bronin Higginsbot	Misty Thicket	9 - 11	220 - 260	Halfling	Rogue	(-755,-470)
Bronk	Neriak - Foreign Quarter	40	3250	Troll	Shopkeeper	(-241,-387)
Bronto Thudfoot	East Freeport	30	1150	Ogre	Warrior	(-226,-824)
Bronto Thudfoot	Firiona Vie	40	3250 - 3497	Ogre	Warrior	(-2956,2996)
Broog Bloodbeard	Rathe Mountains	46	9789	Giant/Cyclops	Warrior	(161,1604)
Broon	Eastern Plains of Karana	23	1095	Giant/Cyclops	Warrior	(-114,-3666)
Brother Balatin	Dreadlands	28 - 32	1110 - 1190	Skeleton	Monk	(973,9055)
Brother Chintle	Western Plains of Karana	4 - 6	80 - 136	Human	Cleric	(-12,-1542)
Brother Drash	Southern Plains of Karana	2 - 4	28 - 68	Gnoll	Warrior	(-2539,1364)
Brother Estle	Western Plains of Karana	4 - 6	94 - 120	Human	Cleric	(369,-1714), (13,-1541)
Brother Gruff	Lair of the Splitpaw	14	280	Gnoll	Shaman	(357,246)
Brother Hayle	Lair of the Splitpaw	24	884	Human	Cleric	(382,329)
Brother Jentry	West Freeport	40	3430	Guard, Freeport	Cleric	(35,-165)
Brother Nallin	Northern Plains of Karana	31	1171 - 1292	Human	Cleric	(-4140,1211)
Brother Qwinn	Southern Plains of Karana	50 - 61	27029	Human	GM Monk	(-2737,1214), (-2072,848)
Brother Trintle	Western Plains of Karana	4 - 6	80 - 120	Human	Cleric	(-12,-1542)
Brother Zephyl	Rathe Mountains	50	27029	Human	GM Monk	(-1531,437)
brown bear, a	Ak'Anon	3 - 5	50 - 90	Bear	Warrior	(1360,-803), (1356,-788), (1354,-814)
brown bear, a	Blackburrow	4	70	Bear	Warrior	(-152,198)
brown bear, a	Qeynos Hills	3 - 5	50 - 90	Bear	Warrior	(2686,-336), (1967,749), (1064,836)
brown bear, a	Rathe Mountains	3 - 5	50 - 90	Bear	Warrior	(4596,2335), (5382,693), (5361,802)
brown bear, a	Surefall Glade	3 - 5	50 - 90	Bear	Warrior	(227,-545), (241,-179), (581,-527)
brown bear, a	Western Plains of Karana	3 - 5	50 - 90	Bear	Warrior	(-2280,-2847), (-2656,-3458), (-2016,-9875)
brownie farmer, a	Lesser Faydark	15	470	Brownie	Druid	(1808,3089)
brownie guard, a	Lesser Faydark	45	4196	Brownie	Druid	(1792,3153)
brownie merchant, a	Lesser Faydark	30	974	Brownie	Shopkeeper	(1768,3109)
brownie outcast, a	Lesser Faydark	31 - 33	740 - 782	Brownie	Druid	(1050,2754), (1477,2768), (1407,2765)
brownie scout, a	Greater Faydark	1 - 3	11 - 61	Brownie	Druid	(1270,2197), (-1425,1208)
brownie, a	Lesser Faydark	15	470	Brownie	Druid	(1775,3124)
Bruax Grengar	Qeynos Aqueduct System	33 - 61	1459 - 32120	Human	GM Necromancer	(283,-421)
Brunar Rankin	East Freeport	8 - 12	200 - 280	Barbarian	Rogue	(-189,-961)
Brundar	Lake Rathetear	5 - 7	110 - 150	Barbarian	Warrior	(746,2133)
Bruno Barstomper	South Qeynos	35	1675	Human	Warrior	(-262,-222)
Brutol Rhaksen	East Freeport	50 - 61	27000 - 32000	Barbarian	GM Warrior	(-21,-230)
Bryan McGee	Highpass Hold	40	3250	Human	Rogue	(-240,90)
Bryan	Eastern Plains of Karana	45	5875	Citizen, Qeynos	Shopkeeper	(-885,-11)
Bryn Fynndel	Lesser Faydark	25	810	Wood Elf	Warrior	(-319,1279)
Bryndin McMill	Everfrost	2 - 4	28 - 68	Barbarian	Warrior	(2038,-1153), (2004,-1129)
Bubar	East Commonlands	45	5875	Human	Shopkeeper	(-1514,-115)
buccaneer, a	Ocean of Tears	25 - 27	840 - 880	Barbarian	Warrior	(831,-5444)
Bugglegupp	Steamfont Mountains	10	240	Troll	Warrior	(-1601,1542)
Bukem Breewood	Surefall Glade	39	2851	Citizen, Qeynos	Shopkeeper	(106,-78)
Bukton	Grobb	40	3250	Citizen, Grobb	Shopkeeper	(369,-196)
Bukuku Wolffeetz	The Overthere	49	8978	Ogre	Shaman	(2768,2392)
bull alligator, a	Innothule Swamp	8 - 10	190 - 230	Alligator	Warrior	(2020,-2), (2207,497), (1990,1523)
Bull Crusher	Neriak - Foreign Quarter	40	3250	Ogre	Shopkeeper	(-389,-251)
bull elephant, a	Southern Plains of Karana	18 - 22	570 - 650	Mammoth	Warrior	(-4428,-1824), (1391,2820), (480,-1498), (-2254,1260), (1556,947)
bullnose snake, a	Eastern Plains of Karana	7 - 9	170 - 210	Snake, Giant	Warrior	(-329,-1897), (-1232,-735), (955,-290)
Bumle Reminjar	North Kaladim	38 - 61	2567 - 32250	Dwarf	GM Paladin	(1383,132)
Bumpy Quickfinger	Rivervale	45	5875	Citizen, Rivervale	Shopkeeper	(-74,-408)
Bunk Odon	Innothule Swamp	13	330	Dwarf	Warrior	(216,-319)
Bunu Stoutheart	Northern Plains of Karana	31	1270	Barbarian	Shaman	(1178,2349)
Bup	The Feerrott	5	100	Ogre	Shopkeeper	(1182,117)
Burgek	Highpass Hold	16 - 18	470 - 510	Troll	Warrior	(-202,25)
burly gnoll, a	Blackburrow	7 - 9	170 - 210	Gnoll	Warrior	(166,219), (144,356)
burynai burrower, a	Field of Bone	10 - 12	250 - 290	Burynai	Warrior	(-587,1301), (-740,1292), (-546,1328)
Burynai Burrower	Kurn's Tower	10 - 12	128 - 188	Burynai	Necromancer	(108,295), (-171,-339), (-227,-37), (174,-279), (-112,-147), (-107,-267)
Burynai Burrower	Kurn's Tower	10 - 12	226 - 286	Burynai	Shadow Knight	(77,-148), (-9,-28), (-83,-52), (-102,-310), (174,-279), (-86,-202)
Burynai Burrower	Kurn's Tower	10 - 12	184 - 224	Burynai	Shaman	(14,-127), (-82,209), (-107,-267)
Burynai Burrower	Kurn's Tower	10 - 12	250 - 310	Burynai	Warrior	(46,57), (192,-279), (-107,-267), (-148,-207), (75,-186), (-247,-4)
burynai cenobite, a	Frontier Mountains	32 - 36	1526 - 1698	Burynai	Cleric	(-311,2862), (-1975,1792), (793,-2534), (1508,1255), (-2668,3351), (-13,1489), (1067,1855), (2458,1694), (445,3253), (2207,3750)
burynai cenobite, a	Mines of Nurga	33	1589	Burynai	Cleric	(-1525,1565)
burynai digmaster, a	Frontier Mountains	28 - 32	1110 - 1362	Burynai	Warrior	(-745,-2542), (-543,-1888), (2100,-1866), (-2564,3194), (-2681,2724), (-343,3650), (-421,1850), (2922,2447), (-2099,3591), (-3463,2736)
burynai excavator, a	Field of Bone	13 - 15	360 - 400	Burynai	Warrior	(-229,533), (-854,1051), (862,212)
Burynai Excavator	Kurn's Tower	12 - 16	162 - 266	Burynai	Necromancer	(178,16), (21,164), (-96,279), (-40,-175), (-40,-74), (-98,243), (-183,231), (-110,270), (-87,-10), (-200,-67)
Burynai Excavator	Kurn's Tower	12 - 16	280 - 413	Burynai	Shadow Knight	(-63,-182), (148,121), (-118,190), (-159,-94), (74,-82), (72,238), (-105,18), (3,31), (-179,-184), (-19,-207)
Burynai Excavator	Kurn's Tower	12 - 16	224 - 319	Burynai	Shaman	(60,-119), (180,-47), (31,-288), (-8,29), (107,256), (93,291)
Burynai Excavator	Kurn's Tower	12 - 16	310 - 450	Burynai	Warrior	(-107,-267), (-107,-232), (-49,-209), (-87,-10), (223,-40), (46,-155), (139,129), (157,-15), (38,70), (1,189)
burynai miner, a	Frontier Mountains	24 - 28	820 - 1072	Burynai	Warrior	(-1580,1965), (-743,2494), (1927,-1180), (-1949,1790), (928,-2245), (1391,-228), (1360,3016), (819,-2566), (773,-2514), (1817,2171)
burynai rockshaper, a	Frontier Mountains	32 - 36	1446 - 1698	Burynai	Warrior	(-2655,2949), (-731,3146), (-2789,3326), (-230,3444), (-457,3504), (-1902,1742), (-1552,1965), (-697,2619), (-382,3620), (311,2086)
burynai rockshaper, a	Mines of Nurga	32 - 36	1446 - 1649	Burynai	Warrior	(-1991,1384), (-1453,759), (-1986,1328), (-1443,713), (-1687,608), (-1498,1588)
Burynai Sapper	Kurn's Tower	16 - 18	250 - 310	Burynai	Necromancer	(89,-182), (180,46), (157,-143), (-61,271), (-142,-129)
Burynai Sapper	Kurn's Tower	16 - 18	426 - 486	Burynai	Shadow Knight	(165,176), (10,-86), (-63,-111), (81,-277), (42,173), (300,-7)
Burynai Sapper	Kurn's Tower	16 - 18	333 - 373	Burynai	Shaman	(81,-277), (-142,-129), (-96,279)
Burynai Sapper	Kurn's Tower	16 - 18	470 - 530	Burynai	Warrior	(223,-40), (43,-295), (-31,283), (-114,264), (-1,63), (25,60)
burynai slave, a	Mines of Nurga	29 - 30	1130 - 1150	Burynai	Warrior	(-1258,-1225), (-2132,-997)
burynaibane spider	Field of Bone	2 - 4	28 - 68	Spider, Giant	Warrior	(-431,2481), (-578,2366), (-400,2204)
Busey Nehart	North Kaladim	34	1486	Citizen, Kaladim	Shopkeeper	(1284,74)
Butler Syncall	Castle Mistmoore	32	1123	Dark Elf	Shadow Knight	(-317,-109)
Buzzlin Bornahm	Erudin	24	770	Dwarf	Warrior	(-467,-634)
Byjan Timbokker	South Qeynos	45	5875	Citizen, Qeynos	Shopkeeper	(197,-172)
Byl Babbinsbort	Rivervale	35	1675	Citizen, Rivervale	Shopkeeper	(-145,-113)
Byrola Bendil	Steamfont Mountains	1 - 3	20 - 52	Gnome	Warrior	(-136,-468)
Byzar Bloodforge	South Kaladim	41 - 61	3691 - 32000	Dwarf	GM Warrior	(-104,377), (-47,402)
Bzzazzt	Plane of Sky	50	19100	Wasp	Warrior	(-880,269)
caiman, a	Oasis of Marr	11 - 13	280 - 320	Alligator	Warrior	(-1038,-644), (-556,-621), (1364,-825)
Cain Darkmoore	West Freeport	50 - 61	27000 - 32025	Human	GM Warrior	(-321,-41)
Caleah Herblender	South Qeynos	28	960	Citizen, Qeynos	Shopkeeper	(313,-558)
caller of Sathir	Karnor's Castle	48	7259	Iksar Scorpion	Shaman	(19,247)
Callowwing	Northern Plains of Karana	18	530	Griffin	Warrior	(-536,835)
Camia V`Retta	Neriak - Commons	50	27000	Dark Elf	GM Enchanter	(156,-962)
Camlend Serbold	North Qeynos	50 - 61	27200 - 32344	Human	GM Paladin	(-205,-676)
Canarie	Neriak - Foreign Quarter	40	3250	Troll	Shopkeeper	(-267,-171)
Caninel	Western Plains of Karana	45	6000	Human	Wizard	(1344,-13365)
Canlan Talespinner	East Freeport	15	615	Human	Bard	(-300,-241)
Canloe Nusback	South Kaladim	38 - 61	2494 - 32000	Dwarf	GM Warrior	(-15,536)
Cannix	Nektulos Forest	10 - 11	240 - 260	Halfling	Warrior	(-1782,1218), (-1812,1113)
Capee	Neriak - Foreign Quarter	50	9550	Troll	Warrior	(-371,-221)
Cappi McTarnigal	Halas	41	3691	Barbarian	GM Rogue	(205,172)
Capt Linarius	Northern Plains of Karana	45	5875 - 5996	Citizen, Qeynos	Warrior	(-4138,1218)
Capt Surestout	Ocean of Tears	18 - 22	431 - 511	Halfling	Rogue	(779,-5386)
Captain Ashlan	Highpass Hold	27	910	Were Wolf	Warrior	(-572,167)
Captain Bipnubble	Solusek's Eye	35	1675	Gnome	Warrior	(-295,-1097)
Captain Bosec	High Keep	34	1486	Were Wolf	Warrior	(20,-282)
Captain Boshinko	High Keep	40	3250	Human	Warrior	(-63,-62)
Captain Gideen	Warslilks Woods	50	9800	Citizen, Iksar	Warrior	(-2205,-582)
Captain Gideen	Warslilks Woods	50	9550	Iksar	Warrior	(-2205,-582)
Captain Hazran	West Freeport	41 - 61	3691 - 32000	Guard, Freeport	GM Warrior	(-132,-36)
Captain Keatar	Firiona Vie	61	27000 - 32117	Wood Elf	GM Ranger	(-3444,3319)
Captain N`Farre	Nektulos Forest	40 - 50	3250 - 32000	Citizen, Neriak	Warrior	(2289,-991)
Captain Nealith	Firiona Vie	61	27118 - 32247	Wood Elf	GM Warrior	(-3919,2614)
Captain Nedar	Swamp Of No Hope	50	9550 - 9800	Citizen, Iksar	Warrior	(2645,3031)
Captain Orben	Highpass Hold	29	1010	Were Wolf	Warrior	(552,159)
Captain Rohand	South Qeynos	50	27000	Citizen, Qeynos	Shopkeeper	(15,-39)
Captain Rottgrime	The Overthere	55	14275	Iksar Skeleton	Warrior	(2471,2138)
Captain Silverwind	Greater Faydark	42 - 44	4679 - 4719	Guard, Felwithe	Warrior	(121,291), (-227,-520), (-437,-603)
Captain Tillin	South Qeynos	50 - 61	30000 - 32000	Citizen, Qeynos	GM Warrior	(47,-511), (37,-511)
Captains Skiff	Butcherblock Mountains	50	9550	Launch	Warrior	(452,3787)
